NAME,value
United States,258343281
Alabama,3917166
Alaska,554003
Arizona,5541976
Arkansas,2312273
California,30827105
Colorado,4509576
Connecticut,2869227
Delaware,783543
District of Columbia,575161
Florida,17339232
Georgia,8220274
Hawaii,1155905
Idaho,1376400
Illinois,9999469
Indiana,5192579
Iowa,2450103
Kansas,2229316
Kentucky,3483900
Louisiana,3570548
Maine,1110085
Maryland,4815202
Massachusetts,5663723
Michigan,7914602
Minnesota,4389033
Mississippi,2277599
Missouri,4775612
Montana,850123
Nebraska,1476127
Nevada,2413326
New Hampshire,1120680
New Jersey,7281310
New Mexico,1638989
New York,16088135
North Carolina,8155099
North Dakota,596093
Ohio,9207562
Oklahoma,3010698
Oregon,3370652
Pennsylvania,10353548
Rhode Island,887594
South Carolina,4014460
South Dakota,669255
Tennessee,5384473
Texas,21866700
Utah,2324051
Vermont,524482
Virginia,6745054
Washington,6024689
West Virginia,1432932
Wisconsin,4612300
Wyoming,441337
Puerto Rico,2724903
