Wave,Date1,Date2
71,12/2/2022,12/5/2022
70,9/9/2022,9/12/2022
68,7/15/2022,7/18/2022
67,6/10/2022,6/13/2022
66,5/13/2022,5/16/2022
65,4/8/2022,4/11/2022
64,3/11/2022,3/14/2022
63,2/25/2022,2/28/2022
62,2/4/2022,2/7/2022
61,1/21/2022,1/24/2022
60,1/7/2022,1/10/2022
59,12/10/2021,12/13/2021
58,11/19/2021,11/22/2021
57,11/5/2021,11/8/2021
56,10/22/2021,10/25/2021
55,10/8/2021,10/11/2021
54,9/24/2021,9/27/2021
53,9/10/2021,9/13/2021
52,8/27/2021,8/30/2021
51,8/13/2021,8/16/2021
50,7/30/2021,8/2/2021
49,7/16/2021,7/19/2021
48,6/25/2021,6/28/2021
47,6/4/2021,6/7/2021
46,5/21/2021,5/24/2021
45,5/7/2021,5/10/2021
44,4/16/2021,4/19/2021
43,4/2/2021,4/5/2021
42,3/19/2021,3/22/2021
41,3/5/2021,3/8/2021
40,2/26/2021,3/1/2021
39,2/19/2021,2/22/2021
38,2/5/2021,2/8/2021
37,1/29/2021,2/1/2021
36,1/22/2021,1/25/2021
35,1/8/2021,1/11/2021
34,12/18/2020,12/21/2020
33,12/11/2020,12/14/2020
32,12/4/2020,12/7/2020
31,11/20/2020,11/23/2020
30,11/13/2020,11/16/2020
29,10/23/2020,10/26/2020
28,10/16/2020,10/19/2020
27,10/1/2020,10/5/2020
26,9/24/2020,9/27/2020
25,9/18/2020,9/21/2020
24,9/11/2020,9/14/2020
23,8/28/2020,8/31/2020
22,8/21/2020,8/24/2020
21,8/14/2020,8/17/2020
20,8/7/2020,8/10/2020
19,7/31/2020,8/3/2020
18,7/24/2020,7/27/2020
17,7/17/2020,7/20/2020
16,7/10/2020,7/13/2020
15,6/26/2020,6/29/2020
14,6/19/2020,6/22/2020
13,6/12/2020,6/15/2020
12,6/5/2020,6/8/2020
11,5/29/2020,6/1/2020
10,5/15/2020,5/18/2020
9,5/8/2020,5/11/2020
8,5/1/2020,5/4/2020
7,4/24/2020,4/27/2020
6,4/17/2020,4/20/2020
5,4/10/2020,4/13/2020
4,4/3/2020,4/6/2020
3,3/27/2020,3/30/2020
2,3/20/2020,3/23/2020
1,3/13/2020,3/16/2020
